@Version=3
COH:GR,COH:NO,COH:NEWNO,COH:LABEL,COH:VALIDFROMDATE,COH:VALIDTODATE,COH:LOCKMODE,COH:SORTORDER,COH:EXTVALUE1,COH:VARIOUS,COH:UNLOCKLABEL,COH:UNLOCKVALIDFROMDATE,COH:UNLOCKVALIDTODATE,COH:UNLOCKTEKST,COH:UNLOCKVARIOUS
-1,25020,0,"NIR - Ordningstype",0,0,1,2,"","",0,0,0,0,0
25020,1,0,"Opplæring i norsk og samfunnskunnskap",0,0,3,0,"NORSK","Opplæring i norsk og samfunnskunnskap",0,0,0,0,0
25020,2,0,"Introduksjonsordning",0,0,3,0,"INTRO","Introduksjonsordning",0,0,0,0,0
25020,3,0,"Opplæring for asylsøkere",0,0,3,0,"ASYLNORSK","Opplæring for asylsøkere",0,0,0,0,0
25020,11,0,"2021 - Norsk med norskmål",0,0,3,0,"NORSKMAL","Opplæring i norsk med norskmål",0,0,0,0,0
25020,12,0,"2021 - Norsk 250 t/norskmål",0,0,3,0,"NORSK250","Opplæring i norsk med begrensning på 250 timer",0,0,0,0,0
25020,13,0,"2021 - Samfunnskunnskap",0,0,3,0,"SAMFUNNSKUNNSKAP","Opplæring i samfunnskunnskap",0,0,0,0,0
25020,14,0,"2021 - Introduksjonsordning",0,0,3,0,"INTRO","Introduksjonsprogram med sluttmål",0,0,0,0,0
25020,15,0,"2021 - Norsk for asylsøkere",0,0,3,0,"NORSKASYL","Norskopplæring i asylmottak",0,0,0,0,0
25020,16,0,"2021 - Samfunnskunnskap for asylsøkere",0,0,3,0,"SAMFASYL","Opplæring i samfunnskunnskap i asylmottak",0,0,0,0,0
25020,17,0,"2021 - Kvalifisering for mottaksbeboere",0,0,3,0,"KVALMOT","Kvalifiseringstiltak for mottaksbeboere",0,0,0,0,0
-1,25021,0,"NIR - Ordningsstatus",0,0,1,2,"","",0,0,0,0,0
25021,1,0,"Avbrutt",0,0,3,0,"AVBRUTT","Avbrutt",0,0,0,0,0
25021,2,0,"Avsluttet",0,0,3,0,"AVSLUTTET","Avsluttet",0,0,0,0,0
25021,3,0,"Deltar i opplæring",0,0,3,0,"DELT_OPPL","Deltar i opplæring",0,0,0,0,0
25021,4,0,"Flyttet",0,0,3,0,"FLYTTET","Flyttet",0,0,0,0,0
25021,5,0,"Avvist",0,0,3,0,"AVVIST","Avvist",0,0,0,0,0
25021,6,0,"Krav/søknad fra person mottatt",0,0,3,0,"MOTTATT","Krav/søknad fra person mottatt",0,0,0,0,0
25021,7,0,"I permisjon",0,0,3,0,"PERM","I permisjon",0,0,0,0,0
25021,8,0,"Kategori beregnet",0,0,3,0,"BEREGNET","Kategori beregnet",0,0,0,0,0
25021,9,0,"Kategori endret",0,0,3,0,"ENDRET","Kategori endret",0,0,0,0,0
25021,10,0,"Midlertidig stans",0,0,3,0,"MIDL_STANS","Midlertidig stans",0,0,0,0,0
25021,11,0,"Permanent stans",0,0,3,0,"PERM_STANS","Permanent stans",0,0,0,0,0
25021,12,0,"Person kontaktet",0,0,3,0,"KONTAKTET","Person kontaktet",0,0,0,0,0
25021,13,0,"Takket nei",0,0,3,0,"TAKKNEI","Takket nei",0,0,0,0,0
25021,14,0,"Utgått frist for rett (3 år)",0,0,3,0,"UTGÅTT_RETT","Utgått frist for rett (3 år)",0,0,0,0,0
25021,15,0,"Utgått frist for behovsprøvd norskopplæring (5 år)",0,0,3,0,"UTGÅTT_BEHOV","Utgått frist for behovsprøvd norskopplæring (5 år)",0,0,0,0,0
25021,16,0,"Vedtak fattet - utsatt oppstart",0,0,3,0,"UTSATT","Vedtak fattet - utsatt oppstart",0,0,0,0,0
25021,17,0,"Vedtak fattet - avslått",0,0,3,0,"AVSLAG","Vedtak fattet - avslått",0,0,0,0,0
25021,18,0,"Vedtak fattet - innvilget",0,0,3,0,"INNVILGET","Vedtak fattet - innvilget",0,0,0,0,0
25021,19,0,"Deltar i ordning",0,0,3,0,"DELT_ORDN","Deltar i ordning",0,0,0,0,0
25021,20,0,"Utgått",0,0,3,0,"UTGÅTT","Utgått",0,0,0,0,0
25021,21,0,"Fritatt fra plikt",0,0,3,0,"FRITATT_PLIKT","Fritatt fra plikt",0,0,0,0,0
25021,22,0,"Manglende oppfølging",0,0,3,0,"MANGL_OPPFOLGING","Manglende oppfølging",0,0,0,0,0
-1,25022,0,"NIR - Kontakttype",0,0,1,2,"","",0,0,0,0,0
25022,1,0,"Kontakt med person",0,0,3,0,"KONTAKT","Kontakt med person",0,0,0,0,0
25022,2,0,"Krav/søknad fra person mottatt",0,0,3,0,"KRAVSOK","Krav/søknad fra person mottatt",0,0,0,0,0
25022,3,0,"Krav mottatt",0,0,3,0,"KRAVMOTTATT","Krav mottatt",0,0,0,0,0
25022,4,0,"Person takket nei",0,0,3,0,"TAKKETNEI","Person takket nei",0,0,0,0,0
25022,11,0,"2021 - Registrer kontakt med person",0,0,3,0,"KONTAKT","Kontakt registrert",0,0,0,0,0
25022,12,0,"2021 - Registrer krav/søknad fra person",0,0,3,0,"KRAVSOK","Krav/søknad fra person mottatt",0,0,0,0,0
25022,13,0,"2021 - Registrer krav/søknad om utsatt oppstart",0,0,3,0,"KRAVSOK_UTSATT","Krav om utsatt start av opplæring i norsk/samfunnskunnskap",0,0,0,0,0
25022,14,0,"2021 - Registrer krav/søknad om norskopplæring",0,0,3,0,"KRAVSOK_NORSK","Registrer krav/søknad om norskopplæring",0,0,0,0,0
25022,15,0,"2021 - Registrer person har avvist program",0,0,3,0,"AVVIST_PROGRAM","Person har avvist program",0,0,0,0,0
-1,25023,0,"NIR - Vedtaktype",0,0,1,2,"","",0,0,0,0,0
25023,1,0,"Betaling for timer",0,0,3,0,"BET_TIMER","Betaling for timer",0,0,0,0,0
25023,2,0,"Behovsprøvd norskopplæring",0,0,3,0,"BEH_NORSK","Behovsprøvd norskopplæring",0,0,0,0,0
25023,3,0,"Fritak fra plikt til norsk/samfunnskunnskap",0,0,3,0,"FRITAK","Fritak fra plikt til norsk/samfunnskunnskap (gjelder for personer med første pot-givende oppholdsvedtak før 01.01.2016)",0,0,0,0,0
